w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE,cv_spearman,cv_spearman_delta_vs_equal
0.1497326,0.07579047,0.20070048,0.136113,0.24858994,0.12245667,0.06661683,0.2000977103777293,0.010832841021862522
0.07416741,0.26491937,0.17348207,0.01046771,0.02336975,0.20694796,0.24664573,0.1832406739667906,-0.00602419538907617
0.02502535,0.27703941,0.01535845,0.39280022,0.04495677,0.21998216,0.02483765,0.14145772319382696,-0.04780714616203982
0.18605929,0.06925102,0.27128361,0.06836627,0.14583974,0.18446442,0.07473565,0.16234620935721455,-0.026918659998652228
0.34124603,0.10626604,0.02960841,0.11755923,0.30104779,0.03699199,0.06728051,0.17971712724844682,-0.00954774210741996
0.26903003,0.11334621,0.02795752,0.04248249,0.01449548,0.11660629,0.41608198,0.15752241283761712,-0.03174245651824967
0.05720368,0.13728784,0.39699132,0.09003236,0.12600167,0.15140152,0.04108161,0.16119911284367433,-0.028065756512192452
0.01396954,0.14875906,0.36331673,0.10785846,0.16774605,0.01790001,0.18045015,0.1628628365247778,-0.026402032831088995
0.10433587,0.13255185,0.17440699,0.056424,0.0872275,0.00024714,0.44480666,0.17970438324418198,-0.009560486111684807
0.48633214,0.23874436,0.01397949,0.03844858,0.10333223,0.08963656,0.02952664,0.12031397515372347,-0.06895089420214331
0.11404173,0.02576631,0.04490464,0.20527409,0.19587675,0.21376028,0.20037621,0.17229807226751132,-0.016966797088355468
